%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=206728, 2026/02/18 13:6:2.32)
135 1351 5.229067e-03 1.147756e+01  7.140151366927072729e+01  7.232690172644743143e+01  7.502340479153716046e+01  8.222875239342833709e+01
136 1361 5.204623e-03 1.145520e+01  7.140151366927072729e+01  7.270074639593444488e+01  7.416938267051337164e+01  2.371998458378383248e+02
137 1371 5.159889e-03 1.142125e+01  7.140151366927072729e+01  7.145989695108443129e+01  7.482099972646966535e+01  7.919255379933109396e+01
138 1381 5.066639e-03 1.142452e+01  7.140151366927072729e+01  7.179878565235868848e+01  7.572395250781568166e+01  9.112668467385923066e+01
139 1391 4.984114e-03 1.143938e+01  7.140151366927072729e+01  7.311185481059624180e+01  7.545743392980662634e+01  7.844747991352691940e+01
140 1401 4.902382e-03 1.144374e+01  7.140151366927072729e+01  7.348651257700873884e+01  7.528290526184458997e+01  2.354786306613015086e+02
141 1411 4.689598e-03 1.147518e+01  7.140151366927072729e+01  7.261334917545103451e+01  7.666205400210772325e+01  1.078978600363124656e+02
142 1421 4.611638e-03 1.146773e+01  7.140151366927072729e+01  7.146742706087952968e+01  7.679491133408677683e+01  1.070592248484293947e+02
143 1431 4.528870e-03 1.146837e+01  7.140151366927072729e+01  7.242690032548780721e+01  7.451628482144913335e+01  1.772407024340574822e+02
144 1441 4.354174e-03 1.147905e+01  7.140151366927072729e+01  7.252050980347053155e+01  7.339737536304707533e+01  7.852256789846953211e+01
145 1451 4.183012e-03 1.147661e+01  7.075451125824741894e+01  7.075451125824741894e+01  7.438002154605118221e+01  2.099044508081091749e+02
146 1461 4.015838e-03 1.150232e+01  7.075451125824741894e+01  7.151759218258092687e+01  7.467051564839360367e+01  2.282211445569863031e+02
147 1471 3.847761e-03 1.151970e+01  7.075451125824741894e+01  7.139530992823807765e+01  7.268289434060380927e+01  1.916831036155193146e+02
148 1481 3.744751e-03 1.154062e+01  7.075451125824741894e+01  7.123554003411784663e+01  7.322432024537837947e+01  2.442275477301292312e+02
149 1491 3.658820e-03 1.155235e+01  7.034167497897011856e+01  7.034167497897011856e+01  7.297497540482234513e+01  2.391532129544399652e+02
150 1501 3.651290e-03 1.154999e+01  7.034167497897011856e+01  7.127762082236668562e+01  7.197968081137713625e+01  7.355268072338753882e+01
151 1511 3.639567e-03 1.154839e+01  7.026965036467142056e+01  7.026965036467142056e+01  7.290786057359949268e+01  7.482006164208743826e+01
152 1521 3.635790e-03 1.151153e+01  7.026965036467142056e+01  7.075584075149839691e+01  7.200076115883953776e+01  7.692941014096025754e+01
153 1531 3.644124e-03 1.152556e+01  7.026965036467142056e+01  7.121519137944071076e+01  7.193372069409214475e+01  7.460311929475855663e+01
154 1541 3.618957e-03 1.151622e+01  7.026965036467142056e+01  7.147951922328817886e+01  7.378410727460413909e+01  1.882887340037395063e+02
155 1551 3.605029e-03 1.153318e+01  7.026965036467142056e+01  7.130161442117079673e+01  7.215576971028831110e+01  7.508668947714723174e+01
156 1561 3.629918e-03 1.152685e+01  7.026965036467142056e+01  7.046893182019856283e+01  7.261773549643002923e+01  7.582162800693205895e+01
157 1571 3.616897e-03 1.151057e+01  6.996327824136974982e+01  6.996327824136974982e+01  7.150915350244346769e+01  2.082102421048730889e+02
158 1581 3.612528e-03 1.142532e+01  6.996327824136974982e+01  7.043620813823542903e+01  7.284049076109357657e+01  7.943577365361210241e+01
159 1591 3.545960e-03 1.138439e+01  6.996327824136974982e+01  7.029065311059792975e+01  7.217658717228826504e+01  7.415321308667051881e+01
160 1601 3.454319e-03 1.134567e+01  6.996327824136974982e+01  7.027405851698516415e+01  7.116213056288663097e+01  7.543437636203792351e+01
161 1611 3.410622e-03 1.130081e+01  6.996327824136974982e+01  7.002893551180909526e+01  7.179721522412378931e+01  1.906642372042940679e+02
162 1621 3.378324e-03 1.130593e+01  6.996327824136974982e+01  7.047622125432822315e+01  7.305187767998569370e+01  2.109939773232133575e+02
163 1631 3.321443e-03 1.124273e+01  6.988561731233308194e+01  6.988561731233308194e+01  7.054237956817249255e+01  7.289923965670780603e+01
