%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=216610, 2026/02/16 20:57:45.12)
11 111  1.226011054806318299e+02 0 0 1.143889e-01 1.115095e-01 1.258374e-01 9.601685e-02 9.458948e-02 9.690577e-02 1.773975e-01 1.474381e-01 1.042386e-01 1.157352e-01 1.300674e-01 7.852095e-02 5.528716e-02 1.123339e-01 2.674497e-02 7.899857e-02 1.672770e-01 4.691143e-02 4.456736e-02 3.399530e-01 1.080228e-01 8.002695e-02 2.006013e-01 3.196594e-01 1.434239e-01 4.197827e-01 2.652931e-01 2.187024e-01 
12 121  1.212788164855315074e+02 0 0 1.089847e-01 9.893296e-02 1.194482e-01 9.704234e-02 9.047698e-02 8.934324e-02 1.726643e-01 1.525638e-01 1.201709e-01 1.281525e-01 1.227178e-01 8.993749e-02 6.020588e-02 9.851399e-02 2.266778e-02 9.092949e-02 1.647207e-01 5.597337e-02 4.927984e-02 3.786820e-01 1.093728e-01 9.587232e-02 1.990360e-01 3.336437e-01 1.310096e-01 3.886178e-01 2.711969e-01 1.991722e-01 
13 131  1.136841529079053288e+02 0 0 1.051418e-01 1.130029e-01 1.233824e-01 1.020372e-01 9.547892e-02 8.741045e-02 1.650838e-01 1.368122e-01 1.254082e-01 1.318402e-01 1.206631e-01 7.969856e-02 5.570302e-02 1.047542e-01 2.645885e-02 8.621120e-02 1.727029e-01 5.755058e-02 5.200728e-02 3.547017e-01 1.029898e-01 8.804910e-02 1.956899e-01 3.057467e-01 1.280639e-01 4.241770e-01 2.432851e-01 1.854801e-01 
14 141  1.192750439699347567e+02 0 0 1.247564e-01 9.153516e-02 1.205348e-01 9.686952e-02 9.196162e-02 8.609513e-02 1.720399e-01 1.341131e-01 1.312877e-01 1.126739e-01 1.312266e-01 9.066826e-02 5.652097e-02 1.132151e-01 2.757232e-02 8.787692e-02 1.656684e-01 5.371812e-02 5.009056e-02 3.587535e-01 1.071559e-01 9.963814e-02 1.904332e-01 3.194516e-01 1.321254e-01 4.014279e-01 2.513950e-01 1.988702e-01 
15 151  1.184050979385420987e+02 0 0 1.142507e-01 9.279102e-02 1.317981e-01 1.092493e-01 8.731329e-02 8.382142e-02 1.631915e-01 1.462346e-01 1.208128e-01 1.257849e-01 1.368596e-01 8.940004e-02 5.283251e-02 1.059609e-01 2.553645e-02 8.763858e-02 1.695293e-01 5.170522e-02 4.528667e-02 3.715549e-01 1.153507e-01 9.255200e-02 1.962025e-01 3.023724e-01 1.379413e-01 3.975003e-01 2.576006e-01 2.063510e-01 
16 161  1.243432857035222128e+02 0 0 1.099140e-01 8.552972e-02 1.267740e-01 1.054853e-01 8.457133e-02 1.048107e-01 1.838591e-01 1.545609e-01 1.348258e-01 1.132095e-01 1.351500e-01 7.783795e-02 4.867994e-02 1.167600e-01 2.772442e-02 9.151561e-02 1.506081e-01 5.437400e-02 5.534052e-02 3.806617e-01 1.244351e-01 9.425252e-02 1.837864e-01 3.168636e-01 1.307948e-01 4.097734e-01 2.514534e-01 1.808232e-01 
17 171  1.165361822772930509e+02 0 0 1.107878e-01 8.559994e-02 1.329565e-01 1.149624e-01 7.191719e-02 8.233723e-02 1.959060e-01 1.625098e-01 1.424059e-01 1.201953e-01 1.309208e-01 7.148331e-02 5.038516e-02 9.842020e-02 2.530330e-02 8.557169e-02 1.538046e-01 5.597874e-02 5.482122e-02 3.838133e-01 1.180487e-01 9.848109e-02 1.913806e-01 3.124446e-01 1.414637e-01 4.148888e-01 2.599982e-01 2.045678e-01 
18 181  1.152978402833183935e+02 0 0 1.090879e-01 7.840262e-02 1.280327e-01 1.126258e-01 7.830127e-02 9.257793e-02 1.773718e-01 1.493036e-01 1.401262e-01 1.227348e-01 1.296046e-01 7.457161e-02 4.740702e-02 1.122148e-01 2.832166e-02 8.563803e-02 1.798984e-01 5.381605e-02 5.362805e-02 3.702188e-01 1.181996e-01 1.023658e-01 1.830905e-01 3.169699e-01 1.464058e-01 3.861169e-01 2.678171e-01 1.928640e-01 
19 191  1.103734680668113555e+02 0 0 1.020801e-01 7.781079e-02 1.374749e-01 9.805489e-02 6.812335e-02 8.541674e-02 1.764658e-01 1.657241e-01 1.453468e-01 1.242665e-01 1.358522e-01 7.802941e-02 4.765426e-02 9.912160e-02 2.199175e-02 8.948179e-02 1.456554e-01 5.682259e-02 4.818138e-02 3.546595e-01 1.131861e-01 9.299658e-02 1.844110e-01 3.125978e-01 1.457885e-01 4.106673e-01 2.545613e-01 2.319432e-01 
20 201  1.198360770144138172e+02 0 0 1.036087e-01 9.095346e-02 1.428448e-01 1.130790e-01 6.593921e-02 1.044534e-01 2.000815e-01 1.609405e-01 1.335482e-01 1.194765e-01 1.303589e-01 7.059581e-02 5.232128e-02 9.870266e-02 2.123467e-02 8.506228e-02 1.640783e-01 5.139695e-02 4.448066e-02 3.327740e-01 1.248330e-01 8.990866e-02 1.789990e-01 3.395460e-01 1.475279e-01 3.986803e-01 2.754023e-01 2.466448e-01 
