%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=212766, 2025/11/26 11:37:17.68)
17 137 2.382203e-02 1.146839e+01  9.312312996958672784e+01  9.312312996958672784e+01  1.223067668294972066e+02  1.492768661600590576e+02
18 145 2.339114e-02 1.142172e+01  8.870860869814856642e+01  8.870860869814856642e+01  1.219255074550461160e+02  1.555603526805408023e+02
19 153 2.294336e-02 1.139584e+01  8.870860869814856642e+01  1.025358512536424911e+02  1.268730540075905822e+02  1.983105514116451218e+02
20 161 2.263371e-02 1.138313e+01  8.870860869814856642e+01  1.100051337802440514e+02  1.230222820288202570e+02  2.055017668088356686e+02
21 169 2.214380e-02 1.135632e+01  8.870860869814856642e+01  1.075213024548164782e+02  1.213080675295338295e+02  1.766926940489535980e+02
22 177 2.181360e-02 1.136591e+01  8.870860869814856642e+01  1.119297043072689206e+02  1.394535248591880077e+02  1.738687409258318155e+02
23 185 2.135193e-02 1.136808e+01  8.870860869814856642e+01  1.157578268612024033e+02  1.274118727807837388e+02  1.816172973665551922e+02
24 193 2.112072e-02 1.136960e+01  8.870860869814856642e+01  1.060171555744076954e+02  1.483509972052983699e+02  1.606597310616432992e+02
25 201 2.107907e-02 1.136048e+01  8.870860869814856642e+01  1.068649241456200087e+02  1.553101777637490386e+02  2.314101644606791410e+02
26 209 2.074883e-02 1.135983e+01  8.870860869814856642e+01  1.341504139864420608e+02  1.523695899038231403e+02  1.994621027173966183e+02
27 217 2.031270e-02 1.136625e+01  8.870860869814856642e+01  1.240773225009566687e+02  1.413170251002138400e+02  1.636275112106336849e+02
28 225 1.993412e-02 1.138740e+01  8.870860869814856642e+01  1.030094916653969648e+02  1.294021711536042858e+02  1.421885676819470632e+02
29 233 1.957631e-02 1.138565e+01  8.870860869814856642e+01  1.139112645160364394e+02  1.435592600581202305e+02  1.763479080139196924e+02
30 241 1.923009e-02 1.138799e+01  8.870860869814856642e+01  1.077511784471248575e+02  1.190989104503856453e+02  1.292445612101084293e+02
31 249 1.906974e-02 1.136037e+01  8.870860869814856642e+01  1.189608227802946629e+02  1.322679930522524501e+02  1.468003848988577431e+02
32 257 1.911204e-02 1.136922e+01  8.870860869814856642e+01  1.032722327617207156e+02  1.383676662222690084e+02  1.672595304177788478e+02
33 265 1.906389e-02 1.136667e+01  8.870860869814856642e+01  1.043475065442810461e+02  1.258663741113983292e+02  1.572145494855253673e+02
34 273 1.880824e-02 1.136822e+01  8.870860869814856642e+01  1.093477880188377611e+02  1.359325810985328076e+02  1.714328595110795277e+02
35 281 1.840244e-02 1.136759e+01  8.870860869814856642e+01  1.136967502187375345e+02  1.361771189650471001e+02  1.817044654061414235e+02
36 289 1.798621e-02 1.141707e+01  8.870860869814856642e+01  1.001284215660267307e+02  1.330712374184795408e+02  1.548067298674569940e+02
37 297 1.770405e-02 1.139271e+01  8.870860869814856642e+01  1.102503558195851383e+02  1.286883118824018482e+02  1.443958192463770729e+02
38 305 1.733427e-02 1.139824e+01  8.870860869814856642e+01  9.891135172498363204e+01  1.062394351577706004e+02  1.457592197086101180e+02
39 313 1.717873e-02 1.140251e+01  8.870860869814856642e+01  9.827289701328062677e+01  1.099154552657868038e+02  1.396727361196609252e+02
40 321 1.699597e-02 1.141156e+01  8.870860869814856642e+01  9.660623869563231381e+01  1.028651906828442435e+02  1.162958076517305415e+02
41 329 1.689669e-02 1.140923e+01  8.870860869814856642e+01  9.254128797859361555e+01  1.039737443680043185e+02  2.127424508718239338e+02
42 337 1.694760e-02 1.144566e+01  8.870860869814856642e+01  9.088759571046300323e+01  1.001546685520747673e+02  1.179502683696373140e+02
43 345 1.700035e-02 1.144981e+01  8.870860869814856642e+01  1.007794270166993584e+02  1.138621539841756203e+02  1.598777882953725111e+02
44 353 1.729625e-02 1.146058e+01  8.870860869814856642e+01  9.380419101756936584e+01  1.131836831928853542e+02  1.440640899809033044e+02
45 361 1.719356e-02 1.146694e+01  8.870860869814856642e+01  9.572415333654642211e+01  1.106169952106316998e+02  1.932193097065966469e+02
46 369 1.677077e-02 1.145718e+01  8.870860869814856642e+01  9.384594366659598563e+01  1.137487992342482528e+02  1.579021423635426231e+02
47 377 1.642994e-02 1.149534e+01  8.870860869814856642e+01  1.018492678223632026e+02  1.085017962190777041e+02  1.446584136786177055e+02
48 385 1.597464e-02 1.149964e+01  8.870860869814856642e+01  9.563239575857075181e+01  1.077925589813618217e+02  1.313215597626613942e+02
49 393 1.565784e-02 1.150490e+01  8.870860869814856642e+01  1.013834938327920554e+02  1.104617924157277429e+02  1.388080173925297913e+02
50 401 1.542780e-02 1.153751e+01  8.870860869814856642e+01  9.146401470232085273e+01  1.094311959262898881e+02  1.225713136916506301e+02
51 409 1.525781e-02 1.153975e+01  8.870860869814856642e+01  9.060577384511711330e+01  1.103117651238551389e+02  1.369086042929583016e+02
52 417 1.495862e-02 1.153629e+01  8.870860869814856642e+01  1.019834800291188373e+02  1.072053514724532306e+02  1.271982610839144456e+02
53 425 1.453754e-02 1.152719e+01  8.870860869814856642e+01  9.059442900438641288e+01  1.079364749987032468e+02  1.156375078639127167e+02
54 433 1.428517e-02 1.150704e+01  8.870860869814856642e+01  9.308794383832558594e+01  1.072091085727563637e+02  1.496172805676397104e+02
55 441 1.399993e-02 1.151168e+01  8.870860869814856642e+01  9.031946909465214901e+01  1.117765434608967894e+02  1.277005713042113797e+02
56 449 1.402684e-02 1.148687e+01  8.870860869814856642e+01  1.079220926563839811e+02  1.239170982715787943e+02  1.426596828616993946e+02
57 457 1.368956e-02 1.150072e+01  8.870860869814856642e+01  9.518090349436297970e+01  1.089116291594387604e+02  1.360409924580626466e+02
58 465 1.357245e-02 1.150545e+01  8.870860869814856642e+01  9.826220426683966025e+01  1.059008536054263345e+02  1.231463231388714235e+02
59 473 1.343353e-02 1.155729e+01  8.870860869814856642e+01  9.086688112892557001e+01  1.028713221510861047e+02  1.203431803793508408e+02
60 481 1.326177e-02 1.157773e+01  8.870860869814856642e+01  1.040871246924449167e+02  1.073425943971612071e+02  1.130240370045625440e+02
61 489 1.319541e-02 1.158991e+01  8.870860869814856642e+01  1.021492024711537852e+02  1.115578733549671426e+02  1.303915755757275292e+02
62 497 1.295197e-02 1.159870e+01  8.870860869814856642e+01  1.020687639921906538e+02  1.101038331361300493e+02  1.137559905910054852e+02
63 505 1.257506e-02 1.159876e+01  8.870860869814856642e+01  1.022371012134944692e+02  1.095433462509600417e+02  1.187505024878228852e+02
64 513 1.243811e-02 1.160034e+01  8.870860869814856642e+01  9.676091613816664960e+01  1.032727762811413186e+02  1.137428713257147308e+02
65 521 1.213470e-02 1.158505e+01  8.870860869814856642e+01  1.011735401605845084e+02  1.042630956566567875e+02  1.161086338997193792e+02
66 529 1.199267e-02 1.155270e+01  8.870860869814856642e+01  9.824258695483476345e+01  1.085877270660945442e+02  1.269001289756641029e+02
67 537 1.188091e-02 1.153774e+01  8.870860869814856642e+01  9.557971857432302443e+01  1.074931265545159249e+02  1.581000506060586304e+02
68 545 1.180118e-02 1.153796e+01  8.870860869814856642e+01  9.750589275044360704e+01  1.117497279240066064e+02  1.264414657542971554e+02
69 553 1.193931e-02 1.153657e+01  8.870860869814856642e+01  9.946342877730477028e+01  1.058463115563902619e+02  1.750656821728798320e+02
